Neighbourhood Id,Neighbourhood,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Income Decile Mean,Income Decile Median,Total Pop 2016,  Non-immigrants,  Immigrants,  Non-permanent residents,  First generation,  Second generation,  Third generation or more,"  Postsecondary certificate, diploma or degree","  No certificate, diploma or degree",  Secondary (high) school diploma or equivalency certificate,"Population, 2016",Total Male Population,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors and Older Seniors
33.0,Clanton Park,9.73,19.35,569.0,5.7,6.0,16472.0,8425.0,7485.0,510.0,8095.0,4995.0,3330.0,8670.0,1735.0,3245.0,16472.0,7820.0,2765.0,1910.0,7470.0,1935.0,2775.0
123.0,Cliffcrest,18.25,25.55,510.0,5.5,6.0,15935.0,9795.0,5835.0,165.0,6055.0,4165.0,5575.0,7160.0,2165.0,3925.0,15935.0,7735.0,2575.0,2145.0,6070.0,2445.0,3065.0
92.0,Corso Italia-Davenport,14.78,37.94,59.0,5.4,5.0,14133.0,7590.0,6095.0,420.0,6590.0,4420.0,3085.0,5925.0,3390.0,2875.0,14133.0,6965.0,1910.0,1545.0,6930.0,1740.0,2315.0
66.0,Danforth,7.14,32.16,356.0,6.1,7.0,9666.0,6575.0,2855.0,165.0,3155.0,2805.0,3650.0,4840.0,1440.0,1670.0,9666.0,4765.0,1675.0,920.0,4370.0,1195.0,1710.0
59.0,Danforth-East York,11.59,24.56,423.0,6.0,6.0,17180.0,11310.0,5575.0,195.0,5915.0,5100.0,6070.0,8510.0,2500.0,3045.0,17180.0,8255.0,3020.0,1450.0,7930.0,2135.0,3020.0
47.0,Don Valley Village,14.96,37.87,111.0,4.8,4.0,27051.0,7690.0,17865.0,1275.0,19250.0,5535.0,2050.0,15035.0,2505.0,5220.0,27051.0,12860.0,4065.0,3280.0,11860.0,3145.0,5365.0
126.0,Dorset Park,16.81,32.27,468.0,4.3,4.0,25003.0,9300.0,14685.0,385.0,15150.0,6495.0,2735.0,10175.0,3975.0,5985.0,25003.0,11705.0,4250.0,3155.0,10485.0,3330.0,4570.0
93.0,Dovercourt-Wallace Emerson-Juncti,19.3,35.06,1132.0,5.1,5.0,36625.0,20635.0,14395.0,1185.0,15950.0,11140.0,9125.0,17325.0,7105.0,7335.0,36625.0,18065.0,4480.0,3925.0,19790.0,3935.0,5110.0
26.0,Downsview-Roding-CFB,15.54,23.72,571.0,4.6,4.0,35052.0,14560.0,19515.0,945.0,20570.0,10655.0,3755.0,12305.0,8590.0,8365.0,35052.0,16865.0,5725.0,4340.0,15045.0,4380.0,6405.0
83.0,Dufferin Grove,18.52,40.07,166.0,5.0,5.0,11785.0,6785.0,4395.0,535.0,5020.0,3535.0,3155.0,6150.0,2150.0,2125.0,11785.0,5840.0,1285.0,1065.0,6680.0,1235.0,1690.0
62.0,East End-Danforth,13.57,35.29,1016.0,5.8,6.0,21381.0,14820.0,5920.0,255.0,6360.0,5775.0,8885.0,11085.0,2290.0,3915.0,21381.0,10290.0,3735.0,2210.0,9990.0,2805.0,2960.0
9.0,Edenbridge-Humber Valley,7.02,46.41,0.0,6.6,7.0,15535.0,9065.0,5950.0,185.0,6235.0,4615.0,4345.0,8175.0,1725.0,3175.0,15535.0,7295.0,2120.0,1805.0,5940.0,2385.0,3955.0
138.0,Eglinton East,20.31,34.79,885.0,4.1,4.0,22776.0,8730.0,13000.0,515.0,13590.0,5835.0,2815.0,8510.0,3925.0,5645.0,22776.0,10595.0,4180.0,3130.0,9180.0,2825.0,4065.0
5.0,Elms-Old Rexdale,9.78,24.71,358.0,4.3,4.0,9456.0,4600.0,4725.0,120.0,4880.0,3200.0,1375.0,3155.0,1870.0,2620.0,9456.0,4510.0,1805.0,1440.0,3700.0,1255.0,1420.0
32.0,Englemount-Lawrence,24.65,43.98,2104.0,4.9,4.0,22372.0,11490.0,9785.0,610.0,10735.0,7575.0,3580.0,10080.0,2675.0,4340.0,22372.0,9840.0,4805.0,3030.0,8385.0,2430.0,4680.0
11.0,Eringate-Centennial-West Deane,10.96,10.43,0.0,6.2,7.0,18588.0,10180.0,8190.0,145.0,8400.0,5390.0,4735.0,9240.0,2435.0,4225.0,18588.0,8930.0,2635.0,2405.0,6910.0,2855.0,4330.0
13.0,Etobicoke West Mall,19.05,15.41,200.0,5.0,5.0,11848.0,5415.0,5805.0,250.0,6095.0,3250.0,2120.0,5325.0,1730.0,2715.0,11848.0,5635.0,1695.0,1460.0,5025.0,1600.0,2565.0
44.0,Flemingdon Park,22.83,21.66,748.0,3.6,3.0,21933.0,6990.0,14030.0,890.0,15010.0,5705.0,1200.0,8880.0,3825.0,4850.0,21933.0,10540.0,4385.0,3060.0,9185.0,2335.0,3265.0
102.0,Forest Hill North,11.11,29.11,311.0,6.1,6.0,12806.0,7210.0,4975.0,480.0,5515.0,3325.0,3830.0,7545.0,880.0,2190.0,12806.0,5770.0,2060.0,1500.0,5390.0,1725.0,2485.0
101.0,Forest Hill South,13.04,18.49,174.0,7.3,9.0,10732.0,7535.0,2755.0,300.0,3215.0,3055.0,4320.0,6990.0,690.0,1605.0,10732.0,4910.0,1365.0,1355.0,4235.0,1530.0,2585.0
25.0,Glenfield-Jane Heights,20.8,41.05,1511.0,4.0,3.0,30491.0,11700.0,17790.0,715.0,18630.0,10085.0,1490.0,7655.0,9560.0,7190.0,30491.0,14235.0,5790.0,4520.0,11590.0,3605.0,5705.0
65.0,Greenwood-Coxwell,5.88,44.29,830.0,5.5,6.0,14417.0,9775.0,4385.0,220.0,4800.0,4060.0,5525.0,7255.0,1960.0,2710.0,14417.0,7000.0,2460.0,1305.0,7240.0,1765.0,1840.0
140.0,Guildwood,10.71,15.57,48.0,6.5,7.0,9917.0,6455.0,3130.0,70.0,3240.0,2805.0,3605.0,5060.0,1080.0,2225.0,9917.0,4630.0,1295.0,1065.0,3370.0,1555.0,3175.0
53.0,Henry Farm,8.7,20.8,232.0,4.4,4.0,15723.0,4205.0,9525.0,1985.0,11595.0,2805.0,1305.0,9230.0,1210.0,2765.0,15723.0,7670.0,2505.0,2330.0,8045.0,1390.0,1595.0
88.0,High Park North,7.1,40.24,788.0,6.0,6.0,22162.0,13340.0,7670.0,805.0,8675.0,5995.0,7135.0,14210.0,1535.0,3250.0,22162.0,10390.0,2850.0,1890.0,11660.0,2585.0,3730.0
87.0,High Park-Swansea,5.91,46.53,300.0,6.6,7.0,23925.0,16315.0,6565.0,470.0,7330.0,7320.0,8705.0,14845.0,1575.0,3385.0,23925.0,11140.0,3540.0,2125.0,11570.0,2870.0,4555.0
134.0,Highland Creek,14.81,0.63,0.0,6.2,7.0,12494.0,5195.0,7015.0,255.0,7295.0,3765.0,1420.0,6105.0,1625.0,3200.0,12494.0,6195.0,1545.0,1925.0,4620.0,2020.0,2585.0
48.0,Hillcrest Village,18.05,48.46,1027.0,5.2,5.0,16934.0,5015.0,11285.0,620.0,12000.0,3775.0,1130.0,9545.0,1865.0,3400.0,16934.0,7925.0,2115.0,2170.0,6060.0,2265.0,4935.0
8.0,Humber Heights-Westmount,9.72,32.82,688.0,5.6,6.0,10948.0,5360.0,4645.0,110.0,4800.0,3365.0,1930.0,4805.0,1555.0,2305.0,10948.0,4905.0,1450.0,1140.0,3790.0,1510.0,3995.0
21.0,Humber Summit,9.77,32.33,133.0,4.5,4.0,12416.0,4860.0,7280.0,265.0,7595.0,3930.0,890.0,3770.0,3495.0,2990.0,12416.0,6050.0,2155.0,1720.0,4855.0,1315.0,2640.0
22.0,Humbermede,15.08,20.52,223.0,4.2,4.0,15545.0,5730.0,9440.0,360.0,9855.0,4630.0,1050.0,5115.0,3635.0,3825.0,15545.0,7495.0,2945.0,2225.0,6445.0,1760.0,2420.0
106.0,Humewood-Cedarvale,12.24,32.85,480.0,5.9,6.0,14365.0,9135.0,4660.0,430.0,5280.0,3815.0,5125.0,8720.0,1125.0,2225.0,14365.0,6595.0,2165.0,1610.0,7005.0,1650.0,2220.0
125.0,Ionview,8.72,47.14,348.0,4.2,4.0,13641.0,5220.0,7795.0,600.0,8400.0,3335.0,1865.0,5655.0,2385.0,3260.0,13641.0,6480.0,2310.0,1645.0,6050.0,1720.0,2135.0
14.0,Islington-City Centre West,14.24,31.01,1240.0,5.8,6.0,43965.0,22450.0,19590.0,1195.0,21025.0,12620.0,9580.0,24535.0,4440.0,8415.0,43965.0,20950.0,5820.0,4695.0,20640.0,5400.0,8885.0
90.0,Junction Area,7.63,44.09,84.0,5.8,6.0,14366.0,9355.0,4550.0,180.0,4830.0,4420.0,4820.0,7790.0,1695.0,2510.0,14366.0,7020.0,2190.0,1465.0,7470.0,1750.0,1675.0
110.0,Keelesdale-Eglinton West,19.63,34.48,351.0,4.7,4.0,11058.0,4480.0,6185.0,380.0,6615.0,3445.0,970.0,3115.0,3640.0,2675.0,11058.0,5350.0,1610.0,1430.0,4790.0,1435.0,2015.0
124.0,Kennedy Park,7.84,34.96,1360.0,4.2,4.0,17123.0,7390.0,9465.0,255.0,9800.0,4485.0,2815.0,6925.0,2990.0,4410.0,17123.0,8280.0,2775.0,2175.0,7120.0,2510.0,2880.0
78.0,Kensington-Chinatown,25.93,37.57,2064.0,4.0,3.0,17945.0,8570.0,7615.0,1270.0,9060.0,4340.0,4050.0,9095.0,2850.0,4205.0,17945.0,8765.0,1315.0,3350.0,8760.0,1795.0,3185.0
6.0,Kingsview Village-The Westway,15.64,35.69,553.0,4.5,4.0,22000.0,10110.0,11425.0,450.0,11975.0,7145.0,2860.0,8075.0,4170.0,5505.0,22000.0,10595.0,4240.0,3020.0,8635.0,2550.0,4160.0
15.0,Kingsway South,4.82,43.15,0.0,8.2,10.0,9271.0,7115.0,1960.0,80.0,2155.0,2775.0,4240.0,5735.0,545.0,1290.0,9271.0,4345.0,1580.0,1100.0,3245.0,1345.0,2320.0
114.0,Lambton Baby Point,14.15,27.28,668.0,6.3,7.0,7985.0,5485.0,2410.0,80.0,2560.0,2460.0,2960.0,4210.0,855.0,1215.0,7985.0,3735.0,1695.0,905.0,3310.0,1050.0,1165.0
117.0,L'Amoreaux,12.07,30.73,1776.0,4.5,4.0,43993.0,13710.0,28325.0,1480.0,29920.0,10315.0,3270.0,18765.0,8055.0,10555.0,43993.0,20600.0,6120.0,5730.0,17210.0,5930.0,10335.0
38.0,Lansing-Westgate,11.2,19.11,0.0,6.2,7.0,16164.0,7960.0,7075.0,1025.0,8195.0,3935.0,3930.0,9850.0,1050.0,2740.0,16164.0,7675.0,2420.0,2105.0,7590.0,1910.0,2520.0
105.0,Lawrence Park North,7.57,52.03,113.0,8.0,9.0,14607.0,11085.0,3340.0,135.0,3665.0,4285.0,6615.0,8660.0,870.0,1745.0,14607.0,7050.0,3280.0,1670.0,5980.0,1725.0,2200.0
103.0,Lawrence Park South,6.15,37.53,113.0,8.1,10.0,15179.0,11690.0,3180.0,255.0,3670.0,4050.0,7390.0,9510.0,945.0,1815.0,15179.0,7150.0,2845.0,2095.0,5870.0,2115.0,2550.0
56.0,Leaside-Bennington,13.3,40.94,0.0,7.9,9.0,16828.0,13130.0,3375.0,140.0,3680.0,4655.0,8305.0,9880.0,1125.0,2350.0,16828.0,8005.0,3285.0,2175.0,6455.0,2340.0,2950.0
84.0,Little Portugal,10.87,37.58,529.0,5.3,5.0,15559.0,9720.0,4835.0,490.0,5540.0,4785.0,4725.0,8490.0,2385.0,2775.0,15559.0,7650.0,1400.0,1605.0,9385.0,1325.0,2110.0
19.0,Long Branch,9.21,28.08,106.0,5.4,5.0,10084.0,6415.0,3445.0,210.0,3730.0,2705.0,3620.0,5060.0,1320.0,2340.0,10084.0,5015.0,1335.0,1130.0,4705.0,1520.0,1545.0
132.0,Malvern,11.06,38.63,1014.0,4.4,4.0,43794.0,15960.0,26900.0,920.0,27995.0,12905.0,2880.0,16960.0,7345.0,11575.0,43794.0,21030.0,7910.0,6620.0,17865.0,5535.0,6335.0
29.0,Maple Leaf,9.0,14.42,175.0,5.0,5.0,10111.0,4345.0,5245.0,270.0,5550.0,3110.0,1200.0,3590.0,2395.0,2380.0,10111.0,4840.0,1500.0,1265.0,4110.0,1205.0,2410.0
12.0,Markland Wood,8.11,7.99,0.0,6.7,7.0,10554.0,6505.0,3890.0,60.0,4000.0,3145.0,3300.0,5790.0,1070.0,2255.0,10554.0,4915.0,1340.0,1165.0,3600.0,1735.0,3240.0
130.0,Milliken,11.42,25.25,156.0,4.3,4.0,26572.0,6805.0,18265.0,990.0,19325.0,6180.0,560.0,8940.0,6320.0,7115.0,26572.0,12855.0,3675.0,3195.0,10565.0,4030.0,5995.0
17.0,Mimico,13.85,21.59,879.0,5.7,6.0,33964.0,18925.0,13425.0,940.0,14580.0,8870.0,9865.0,19855.0,3570.0,6410.0,33964.0,16535.0,3505.0,3010.0,17695.0,4620.0,5725.0
135.0,Morningside,11.35,6.67,523.0,4.6,4.0,17455.0,7240.0,9495.0,410.0,9990.0,4675.0,2485.0,7480.0,2465.0,4345.0,17455.0,8445.0,2880.0,2690.0,6840.0,2355.0,3050.0
73.0,Moss Park,19.18,42.76,3399.0,5.0,4.0,20506.0,11240.0,6470.0,750.0,7415.0,4875.0,6170.0,11940.0,1680.0,3415.0,20506.0,11650.0,1540.0,2060.0,12530.0,2495.0,2040.0
115.0,Mount Dennis,21.15,29.91,1145.0,4.1,4.0,13593.0,5545.0,7430.0,275.0,7760.0,4065.0,1430.0,4665.0,2810.0,3385.0,13593.0,6450.0,2395.0,1815.0,5930.0,1760.0,1950.0
2.0,Mount Olive-Silverstone-Jamestown,19.53,37.57,1288.0,3.7,3.0,32954.0,10425.0,21500.0,900.0,22555.0,9095.0,1185.0,10065.0,7895.0,7785.0,32954.0,16085.0,7090.0,5240.0,13615.0,3475.0,3860.0
99.0,Mount Pleasant East,10.23,50.4,291.0,7.2,8.0,16775.0,11880.0,4510.0,360.0,5040.0,4920.0,6800.0,10475.0,1015.0,2280.0,16775.0,7780.0,2980.0,1705.0,7620.0,2020.0,2715.0
104.0,Mount Pleasant West,10.16,41.6,1383.0,5.5,6.0,29658.0,15955.0,11295.0,1670.0,13215.0,6855.0,8855.0,20575.0,1500.0,4475.0,29658.0,13330.0,2380.0,2520.0,17100.0,3030.0,5545.0
18.0,New Toronto,10.42,24.84,1010.0,4.9,5.0,11463.0,6975.0,3970.0,345.0,4370.0,3040.0,3875.0,5565.0,1610.0,2505.0,11463.0,5575.0,1610.0,1390.0,5215.0,1580.0,1665.0
50.0,Newtonbrook East,12.87,29.12,0.0,5.0,5.0,16097.0,4465.0,9945.0,1110.0,11120.0,3075.0,1345.0,9460.0,1485.0,3005.0,16097.0,7580.0,1585.0,2185.0,6860.0,2155.0,3990.0
36.0,Newtonbrook West,15.15,26.14,380.0,4.4,4.0,23831.0,6450.0,15665.0,1510.0,17240.0,4370.0,2030.0,12865.0,2450.0,5515.0,23831.0,11225.0,2810.0,3325.0,10410.0,3110.0,4850.0
82.0,Niagara,13.58,34.94,939.0,6.4,7.0,31180.0,20255.0,8995.0,1185.0,10525.0,9625.0,10275.0,23305.0,1280.0,3805.0,31180.0,15390.0,2055.0,2415.0,23320.0,1885.0,1605.0
68.0,North Riverdale,12.9,47.17,98.0,6.8,8.0,11916.0,8605.0,2925.0,150.0,3195.0,3510.0,4980.0,6845.0,1040.0,1850.0,11916.0,5830.0,1960.0,1170.0,5490.0,1645.0,1800.0
74.0,North St.James Town,16.15,34.03,1704.0,3.6,3.0,18615.0,7405.0,9485.0,1470.0,11035.0,3990.0,3335.0,10230.0,2040.0,3805.0,18615.0,9880.0,2290.0,2265.0,10350.0,1970.0,1960.0
121.0,Oakridge,11.98,35.43,1486.0,3.3,2.0,13845.0,5660.0,7520.0,425.0,7985.0,3555.0,2060.0,5470.0,2270.0,3020.0,13845.0,6760.0,2865.0,1680.0,6050.0,1595.0,1910.0
107.0,Oakwood Village,15.05,41.07,825.0,5.0,5.0,21210.0,10280.0,9965.0,725.0,10845.0,5970.0,4145.0,9205.0,4450.0,4175.0,21210.0,10060.0,3130.0,2275.0,9535.0,2590.0,4240.0
