Neighbourhood,Neighbourhood Id,Total Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Reference Period
North Riverdale,68.00,11916.00,12.90,47.17,98.00,2014.00
North St.James Town,74.00,18615.00,16.15,34.03,1704.00,2014.00
Oakridge,121.00,13845.00,11.98,35.43,1486.00,2014.00
Oakwood Village,107.00,21210.00,15.05,41.07,825.00,2014.00
O'Connor-Parkview,54.00,18675.00,9.76,37.63,528.00,2014.00
Old East York,58.00,9233.00,9.47,24.76,182.00,2014.00
Palmerston-Little Italy,80.00,13826.00,10.99,45.81,169.00,2014.00
Parkwoods-Donalda,45.00,34805.00,15.81,33.60,805.00,2014.00
Pelmo Park-Humberlea,23.00,10722.00,14.00,21.71,359.00,2014.00
Playter Estates-Danforth,67.00,7804.00,3.08,42.51,194.00,2014.00
Pleasant View,46.00,15818.00,9.92,22.56,0.00,2014.00
Princess-Rosethorn,10.00,11051.00,4.65,39.52,0.00,2014.00
Regent Park,72.00,10803.00,10.84,42.52,2120.00,2014.00
Rexdale-Kipling,4.00,10529.00,7.89,23.31,308.00,2014.00
Rockcliffe-Smythe,111.00,22246.00,15.85,31.87,1092.00,2014.00
Roncesvalles,86.00,14974.00,6.04,44.85,511.00,2014.00
Rosedale-Moore Park,98.00,20923.00,9.84,32.20,520.00,2014.00
Rouge,131.00,46496.00,13.44,21.95,332.00,2014.00
Runnymede-Bloor West Village,89.00,10070.00,4.39,45.64,4.00,2014.00
Rustic,28.00,9941.00,13.08,16.55,1292.00,2014.00
Scarborough Village,139.00,16724.00,19.50,35.48,788.00,2014.00
South Parkdale,85.00,21849.00,17.53,26.84,1600.00,2014.00
South Riverdale,70.00,27876.00,7.56,45.86,1479.00,2014.00
St.Andrew-Windfields,40.00,17812.00,13.11,18.23,38.00,2014.00
Steeles,116.00,24623.00,10.57,11.36,0.00,2014.00
Stonegate-Queensway,16.00,25051.00,7.55,31.23,129.00,2014.00
Tam O'Shanter-Sullivan,118.00,27446.00,12.93,41.37,607.00,2014.00
Taylor-Massey,61.00,15683.00,16.92,38.19,381.00,2014.00
The Beaches,63.00,21567.00,7.85,31.53,151.00,2014.00
Thistletown-Beaumond Heights,3.00,10360.00,16.04,42.26,372.00,2014.00
Thorncliffe Park,55.00,21108.00,14.24,34.53,567.00,2014.00
Trinity-Bellwoods,81.00,16556.00,10.00,35.45,250.00,2014.00
University,79.00,7607.00,20.00,42.62,326.00,2014.00
Victoria Village,43.00,17510.00,14.08,26.90,922.00,2014.00
Waterfront Communities-The Island,77.00,65913.00,17.82,31.61,2644.00,2014.00
West Hill,136.00,27392.00,19.37,28.06,2052.00,2014.00
West Humber-Clairville,1.00,33312.00,15.34,23.82,950.00,2014.00
Westminster-Branson,35.00,26274.00,16.48,24.63,966.00,2014.00
Weston,113.00,17992.00,15.09,41.45,1036.00,2014.00
Weston-Pellam Park,91.00,11098.00,20.49,52.57,734.00,2014.00
Wexford/Maryvale,119.00,27917.00,12.05,42.08,736.00,2014.00
Willowdale East,51.00,50434.00,12.00,28.90,496.00,2014.00
Willowdale West,37.00,16936.00,9.30,17.67,664.00,2014.00
Willowridge-Martingrove-Richview,7.00,22156.00,14.69,30.46,762.00,2014.00
Woburn,137.00,53485.00,15.19,27.73,2594.00,2014.00
Woodbine Corridor,64.00,12541.00,10.26,29.04,950.00,2014.00
Woodbine-Lumsden,60.00,7865.00,4.92,27.87,203.00,2014.00
Wychwood,94.00,14349.00,7.00,40.49,1229.00,2014.00
Yonge-Eglinton,100.00,11817.00,2.33,31.95,0.00,2014.00
Yonge-St.Clair,97.00,12528.00,8.33,32.65,0.00,2014.00
York University Heights,27.00,27593.00,24.11,47.00,511.00,2014.00
Yorkdale-Glen Park,31.00,14804.00,19.27,21.66,657.00,2014.00
